0,undefined
1,vme-evm-300
2,mtca-evr-300u
3,pcie-evr-300dc
4,Moxa-Nport-6650
5,Dyno-LabelWriter-450-Duo
6,NAT-MCH-PHYS
7,microSD-EVO-32G
